19500	19421,20551,27946,5086,14048
29750	
38250	10051,18730,17590,14265
39750	
42000	8890,13390
47000	23549,2999,18835
64000	
65500	6152,5443,24196,5814,21840
69500	18730,1917,17470,10646,15315
71250	
82250	
83250	1731,7989,7409,7624,21238
139000	
140500	14625,18730,10480,23779
145750	7409,11578,3847,24242
154500	8689,13830,18805,5863,10353
154750	
190500	4281,18465
200250	12352,5856,9620,12052,19166
203750	
232000	18791,7868,21865
236000	8637,18275,17690
239250	12647,7616,28481,19742,9842
252500	23656,23826,18805,23861,15089
266500	255,9657,25005,9486,10282
267250	8313,1237,5053,11679,679
282500	12055,9899,3850,1962,2683
299750	24601,11080
309750	15365,20902,4545
317500	
341000	16564
364250	11679
371250	25596,21110
380000	14174,12329,1773,22094
382250	
393250	20154,22306,2891,13093,4949
405000	
415500	554,27437,23164,194,28694
417250	12068,26800,21838
418500	18002,15138
425500	12285
434750	4571,6542,19394,27511,12656
439000	16821,24060,11499,3362,4221
448250	15911
452750	14796,12110,15638,18491,11060
472000	23584,3515,25333,6211,2963
528250	8693,21146,155,7096,12977
563500	3219,23928,15032,16939
567250	949,6051,6968,9899,24616
573000	19615,16653,18868
591750	
599750	29146,12285,9657,18990,530
620500	10646,26114,934,21840,7975
621500	29099,2683,6326
650750	18202
691500	14119,27912,22547,20661,22664
711500	26722,11052,4709,14360,17118
725000	17835
731750	9195,7692,11196,15924
745750	24869,7827,4578,19339,7230
746000	155,6571,21865,7105,3032
747500	
764000	15081,16300
764750	
776750	27401,20695,18730,3228,29084
791500	24831,10329,3627,14712,21050
799000	8278,21946,3555,16331,24341
805750	
832250	23782,26670,29330,28859,22963
835000	21462,5848,14048,16722,8637
847750	18024,12728,28169
848500	7286,23628,2000,19891
854250	4571,9881
861250	
861750	5660,23284,27791
887500	11080
887750	28270,3135,24764,17237,15019
892500	18741,23403,2669,15217,239
965500	18712,26546,9671
969750	17823,2963,2367,14020
980000	
981000	11176,14153,27160,12394,14020
984500	18730,28985,2513,27791
1025250	13247,4014
1046250	10678,6621,27791
1047000	
1063000	28481,24929,20551,530,22280
1074500	16602,9567,12606
1074750	11904,21865,12220,22556,14580
1086750	1084,18977,7868
1104500	18678,2683
1110750	20578,12426,3458
1114000	
1118250	3626,7061,26665,10970,8278
1140750	14261,1293,27912,6741,27060
1148000	
1165500	15423
1173500	5848,20037,24869,15661,8049
1181250	23284,8339,8058,7208,16169
1189000	28621,16361,23612,16818,11328
1194750	20551,679,4059,23103,7037
1206500	
1240250	2160,20297
1244250	19951,28183,1691,624,27670
1247000	25635,18712,20548,5043
1319000	599,5797
1324500	27927,14482,2198,5336,10404
1338750	12586,360,9620,6571,845
1365000	13737,14580
1381000	25329,29099,17958,8724,22099
1441500	
1446250	18712,14525,23482,700,7105
1449250	
1459000	
1459750	25830
1492500	26605,8637,24886
1499750	
1517000	24087,15086,27205,4808,16302
1525000	11196,2257
1528500	18466,26585,22749,5799,1505
1530250	
1531250	22179,10247,4078,6546,7026
1561250	989,21511,24307,22973,7096
1579250	21160,5336,7105,25641,4953
1617250	1505,5077,5667,23284,26546
1620500	5445,28774,23735,5833
1622500	8148,24911,18771,7522,22027
1627000	
1629250	19891,24601,9120,18024,29099
1641000	
1661750	10840,15315,3324,2729,1731
1688750	12220,3145,7248,19671
1699500	16716,24715
1710500	14780
1724000	
1724250	23198,15269,3228
1727500	4452,7812,28669,9563
1758250	28463,6947,2764,27791,28481
1767500	20180,27977,14626,619,7409
1782250	18024,24460,5845,14415,2568
1792000	9301,6203,23214,20630
1793250	2033
1806750	20701,26394
1812000	11196,7868,19814
1815750	13998
1832000	25687
1838000	
1838750	16818
1855750	
1904750	27314,23928
1906000	1831,9532,16540,2438,12220
1909250	20516,4411,15992,6326,504
1911500	18730,21815
1934750	
1953250	14020,21979,23984,8313,3658
1966250	3228,25260,7186
1969000	12220,4411,18002,5469,5987
1971500	21715,22489,16944,1739,14415
1985250	
2006000	
2033500	712,4949,11176,2519,12352
2050000	11022,26866,18996,15231,17960
2076000	24886
2078000	17449,7622,14446,26608,17752
2088000	10949,2198,13020,13247,25349
2103250	4220,24341,20661,7822,7567
2132250	
2138750	
2148250	
2168250	7868,13494
2182750	18808,5131,19643,7059,28184
2187500	27394,6158,23628,29203
2198750	9250,5429,13054,16550
2200750	2610,24506,14020,18741,9315
